355810,MmusE5868_L1I1_355810
355811,MmusE5873_L1I1_355811
355812,MmusE5865_L1I1_355812
355813,MmusE5801_L1I1_355813
355814,MmusE5864_L1I1_355814
355815,MmusE5805_L1I1_355815
355816,MmusE5869_L1I1_355816
355817,MmusE5804_L1I1_355817
355818,MmusE5874_L1I1_355818
355819,MmusE5800_L1I1_355819
355820,MmusE5798_L1I1_355820
355821,MmusLb2_L1I1_355821
355822,MmusE5871_L1I1_355822
355823,MmusE5866_L1I1_355823
355824,MmusE5803_L1I1_355824
355825,MmusEB1_L1I1_355825
355826,MmusE5862_L1I1_355826
355827,MmusE5867_L1I1_355827
355828,MmusE5870_L1I1_355828
355829,MmusE5799_L1I1_355829
355830,MmusEB2_L1I1_355830
355831,MmusE5860_L1I1_355831
355832,MmusE5802_L1I1_355832
355833,MmusE5861_L1I1_355833
355834,MmusE5872_L1I1_355834
355835,MmusE5863_L1I1_355835
355836,MmusLb1_L1I1_355836
355837,MmusIBmice_L1I1_355837