6_A0,tDana0EB_extraction_blank_6_A0
14_LB_B3.8,LB-B3-8_lib_blank_14_LB_B3-8
49_LB_B3.2,LB-B3-2_lib_blank_49_LB_B3-2
51_LB_B3.4,LB-B3-4_lib_blank_51_LB_B3-4
52_LB_B3.5,LB-B3-5_lib_blank_52_LB_B3-5
53_LB_B3.6,LB-B3-6_lib_blank_53_LB_B3-6
54_LB_B3.7,LB-B3-7_lib_blank_54_LB_B3-7
55_LB_B3.1,LB-B3-1_lib_blank_55_LB_B3-1
58_LB_B3.3,LB-B3-3_lib_blank_58_LB_B3-3
50_Bger_blank,tBger02EB_extraction_blank_50_Bger_blank
1_M20,tDmel20N_NHM_1_M20
12_M8,tDmel08N_NHM_12_M8
13_M02,tDmel02NEB_extraction_blank_13_M02
15_M1,tDmel01N_NHM_15_M1
16_M12,tDmel12N_NHM_16_M12
17_ML1,tDmel01S_Smithsonian_17_ML1
18_M11,tDmel11N_NHM_18_M11
19_M2,tDmel02N_NHM_19_M2
2_M15,tDmel15N_NHM_2_M15
20_M18,tDmel18N_NHM_20_M18
22_M17,tDmel17N_NHM_22_M17
24_M3,tDmel03N_NHM_24_M3
25_M6,tDmel06N_NHM_25_M6
26_M16,tDmel16N_NHM_26_M16
27_ML4,tDmel04S_Smithsonian_27_ML4
28_ML2,tDmel02S_Smithsonian_28_ML2
29_M9,tDmel09N_NHM_29_M9
3_M4,tDmel04N_NHM_3_M4
30_M7,tDmel07N_NHM_30_M7
32_M14,tDmel14N_NHM_32_M14
33_M13,tDmel13N_NHM_33_M13
34_ML3,tDmel03S_Smithsonian_34_ML3
35_ML7,tDmel07S_Smithsonian_35_ML7
36_ML6,tDmel06S_Smithsonian_36_ML6
4_M5,tDmel05N_NHM_4_M5
5_M10,tDmel10N_NHM_5_M10
57_M19,tDmel19N_NHM_57_M19
7_ML5,tDmel05S_Smithsonian_7_ML5
8_M0,tDmel00NEB_extraction_blank_8_M0
10_T167,tTni167_NHM_10_T167
11_T0,tTni0_NHM_11_T0
21_T170,tTni170_NHM_21_T170
23_T163,tTni163_NHM_23_T163
31_T164,tTni164_NHM_31_T164
56_T161,tTni161_NHM_56_T161
9_T166,tTni166_NHM_9_T166